id,code,first_name,second_name,web_name,photo,element_type
805,469130,Lorenzo,Lucca,Lucca,https://resources.premierleague.com/premierleague25/photos/players/110x140/469130.png,4
814,470315,Luca,Netz,Netz,https://resources.premierleague.com/premierleague25/photos/players/110x140/470315.png,2
528,232571,Anthony,Patterson,Patterson,https://resources.premierleague.com/premierleague25/photos/players/110x140/232571.png,1
529,74854,Simon,Moore,Moore,https://resources.premierleague.com/premierleague25/photos/players/110x140/74854.png,1
530,490000,Blondy,Nna Noukeu,Nna Noukeu,https://resources.premierleague.com/premierleague25/photos/players/110x140/490000.png,1
531,223827,Daniel,Ballard,Ballard,https://resources.premierleague.com/premierleague25/photos/players/110x140/223827.png,2
532,487676,Trai,Hume,Hume,https://resources.premierleague.com/premierleague25/photos/players/110x140/487676.png,2
533,220684,Aji,Alese,Alese,https://resources.premierleague.com/premierleague25/photos/players/110x140/220684.png,2
534,232820,Joe,Anderson,Anderson,https://resources.premierleague.com/premierleague25/photos/players/110x140/232820.png,2
535,461195,Dennis,Cirkin,Cirkin,https://resources.premierleague.com/premierleague25/photos/players/110x140/461195.png,2
536,477547,Leo Fuhr,Hjelde,Hjelde,https://resources.premierleague.com/premierleague25/photos/players/110x140/477547.png,2
537,492066,Niall,Huggins,Huggins,https://resources.premierleague.com/premierleague25/photos/players/110x140/492066.png,2
538,514613,Zak,Johnson,Johnson,https://resources.premierleague.com/premierleague25/photos/players/110x140/514613.png,2
539,167512,Luke,O'Nien,O'Nien,https://resources.premierleague.com/premierleague25/photos/players/110x140/167512.png,2
540,465702,Timothée,Pembélé,Pembele,https://resources.premierleague.com/premierleague25/photos/players/110x140/465702.png,2
541,434399,Reinildo,Mandava,Reinildo,https://resources.premierleague.com/premierleague25/photos/players/110x140/434399.png,2
542,519634,Jenson,Seelt,Seelt,https://resources.premierleague.com/premierleague25/photos/players/110x140/519634.png,2
543,535818,Simon,Adingra,Adingra,https://resources.premierleague.com/premierleague25/photos/players/110x140/535818.png,3
544,547027,Habib,Diarra,Diarra,https://resources.premierleague.com/premierleague25/photos/players/110x140/547027.png,3
545,124165,Patrick,Roberts,Roberts,https://resources.premierleague.com/premierleague25/photos/players/110x140/124165.png,3
546,626844,Milan,Aleksić,Aleksić,https://resources.premierleague.com/premierleague25/photos/players/110x140/626844.png,3
547,484420,Enzo,Le Fée,E.Le Fée,https://resources.premierleague.com/premierleague25/photos/players/110x140/484420.png,3
548,461199,Romaine,Mundle,Mundle,https://resources.premierleague.com/premierleague25/photos/players/110x140/461199.png,3
549,223336,Dan,Neil,Neil,https://resources.premierleague.com/premierleague25/photos/players/110x140/223336.png,3
550,215460,Ian,Poveda-Ocampo,Poveda,https://resources.premierleague.com/premierleague25/photos/players/110x140/215460.png,3
551,554197,Chris,Rigg,Rigg,https://resources.premierleague.com/premierleague25/photos/players/110x140/554197.png,3
552,577669,Noah,Sadiki,Sadiki,https://resources.premierleague.com/premierleague25/photos/players/110x140/577669.png,3
553,549912,Chemsdine,Talbi,Talbi,https://resources.premierleague.com/premierleague25/photos/players/110x140/549912.png,3
554,477851,Abdoullah,Ba,Ba,https://resources.premierleague.com/premierleague25/photos/players/110x140/477851.png,3
555,171422,Alan,Browne,Browne,https://resources.premierleague.com/premierleague25/photos/players/110x140/171422.png,3
556,458297,Pierre,Ekwah Elimby,Ekwah,https://resources.premierleague.com/premierleague25/photos/players/110x140/458297.png,3
557,547410,Harrison,Jones,H.Jones,https://resources.premierleague.com/premierleague25/photos/players/110x140/547410.png,3
558,493837,Jay,Matete,Matete,https://resources.premierleague.com/premierleague25/photos/players/110x140/493837.png,3
559,500696,Nectarios,Triantis,Triantis,https://resources.premierleague.com/premierleague25/photos/players/110x140/500696.png,3
560,437505,Wilson,Isidor,Isidor,https://resources.premierleague.com/premierleague25/photos/players/110x140/437505.png,4
561,564406,Eliezer,Mayenda Dossou,Mayenda,https://resources.premierleague.com/premierleague25/photos/players/110x140/564406.png,4
562,611975,Ahmed,Abdullahi,Abdullahi,https://resources.premierleague.com/premierleague25/photos/players/110x140/611975.png,4
563,551153,Luís Hemir,Silva Semedo,Luís Hemir,https://resources.premierleague.com/premierleague25/photos/players/110x140/551153.png,4
564,440955,Nazarii,Rusyn,Rusyn,https://resources.premierleague.com/premierleague25/photos/players/110x140/440955.png,4
668,84450,Granit,Xhaka,Xhaka,https://resources.premierleague.com/premierleague25/photos/players/110x140/84450.png,3
670,498016,Robin,Roefs,Roefs,https://resources.premierleague.com/premierleague25/photos/players/110x140/498016.png,1
678,105717,Arthur,Masuaku,Masuaku,https://resources.premierleague.com/premierleague25/photos/players/110x140/105717.png,2
683,201895,Omar,Alderete,Alderete,https://resources.premierleague.com/premierleague25/photos/players/110x140/201895.png,2
694,200834,Nordi,Mukiele,Mukiele,https://resources.premierleague.com/premierleague25/photos/players/110x140/200834.png,2
724,247955,Lutsharel,Geertruida,Geertruida,https://resources.premierleague.com/premierleague25/photos/players/110x140/247955.png,2
730,441264,Brian,Brobbey,Brobbey,https://resources.premierleague.com/premierleague25/photos/players/110x140/441264.png,4
735,110504,Bertrand,Traoré,Traoré,https://resources.premierleague.com/premierleague25/photos/players/110x140/110504.png,3
774,232356,Jenson,Jones,Jenson Jones,https://resources.premierleague.com/premierleague25/photos/players/110x140/232356.png,2
775,604211,Tymur,Tutierov,Tutierov,https://resources.premierleague.com/premierleague25/photos/players/110x140/604211.png,3
800,699989,Djiamgone Jocelin Ta,Bi,Jocelin.T,https://resources.premierleague.com/premierleague25/photos/players/110x140/699989.png,3
812,515046,Melker,Ellborg,Ellborg,https://resources.premierleague.com/premierleague25/photos/players/110x140/515046.png,1
813,536661,Nilson,Angulo,Angulo,https://resources.premierleague.com/premierleague25/photos/players/110x140/536661.png,3
821,570929,Jack,Whittaker,Whittaker,https://resources.premierleague.com/premierleague25/photos/players/110x140/570929.png,3
822,571087,Jaydon,Jones,Jones,https://resources.premierleague.com/premierleague25/photos/players/110x140/571087.png,3
565,184254,Guglielmo,Vicario,Vicario,https://resources.premierleague.com/premierleague25/photos/players/110x140/184254.png,1
566,214572,Brandon,Austin,Austin,https://resources.premierleague.com/premierleague25/photos/players/110x140/214572.png,1
567,485055,Antonín,Kinský,Kinsky,https://resources.premierleague.com/premierleague25/photos/players/110x140/485055.png,1
568,441164,Pedro,Porro Sauceda,Pedro Porro,https://resources.premierleague.com/premierleague25/photos/players/110x140/441164.png,2
569,221632,Cristian,Romero,Romero,https://resources.premierleague.com/premierleague25/photos/players/110x140/221632.png,2
570,135720,Kevin,Danso,Danso,https://resources.premierleague.com/premierleague25/photos/players/110x140/135720.png,2
571,115556,Ben,Davies,Davies,https://resources.premierleague.com/premierleague25/photos/players/110x140/115556.png,2
572,493125,Radu,Drăgușin,Dragusin,https://resources.premierleague.com/premierleague25/photos/players/110x140/493125.png,2
573,232859,Djed,Spence,Spence,https://resources.premierleague.com/premierleague25/photos/players/110x140/232859.png,2
574,487053,Destiny,Udogie,Udogie,https://resources.premierleague.com/premierleague25/photos/players/110x140/487053.png,2
575,491279,Micky,van de Ven,Van de Ven,https://resources.premierleague.com/premierleague25/photos/players/110x140/491279.png,2
